Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
9,46,Yes,6,3,65.2
5,73,Yes,7,8,80.0
9,71,Yes,5,7,87.8
3,88,No,8,3,62.0
4,52,Yes,9,5,67.0
9,69,No,4,6,80.0
6,64,Yes,7,9,78.7
2,60,No,4,7,55.5
7,99,Yes,7,3,90.7
2,98,Yes,8,0,63.4
2,60,No,9,4,53.9
1,67,No,8,0,32.7
3,87,No,8,3,64.6
6,97,No,7,6,84.6
8,59,Yes,6,6,77.2
9,73,Yes,9,0,72.7
7,44,Yes,4,8,63.7
4,57,Yes,6,1,54.4
6,99,Yes,6,4,78.7
5,78,No,5,5,67.1
8,82,No,4,0,56.3
1,96,Yes,7,1,57.3
1,96,No,5,6,65.4
6,50,Yes,5,5,63.0
2,93,Yes,8,5,68.5
5,56,No,7,5,55.2
1,87,Yes,6,6,53.3
7,84,No,9,9,85.7
1,61,Yes,6,8,61.1
4,76,No,6,8,69.1
9,59,Yes,8,1,75.6
1,87,Yes,6,1,59.5
4,99,No,4,4,68.2
6,93,Yes,6,9,92.4
6,93,Yes,6,6,87.9
8,87,No,4,2,65.8
1,87,No,8,2,50.5
7,85,No,5,3,63.6
1,45,Yes,7,2,29.9
7,73,No,8,2,67.2
3,53,No,6,7,53.4
8,87,No,5,6,72.9
3,62,Yes,7,6,63.1
1,59,No,7,9,53.2
8,52,Yes,7,1,71.5
3,86,Yes,4,8,70.8
2,83,No,4,5,57.1
1,80,Yes,5,2,49.0
3,71,Yes,6,8,66.3
2,65,Yes,5,8,61.4
2,89,Yes,6,5,69.1
6,92,Yes,8,9,84.1
1,53,No,7,5,41.0
2,91,No,7,7,69.4
6,96,No,4,7,79.2
3,75,Yes,8,5,69.5
4,47,No,9,6,54.9
1,79,Yes,8,3,62.4
8,61,Yes,6,0,61.8
7,61,Yes,8,3,68.3
7,55,Yes,4,7,75.0
3,66,No,6,7,62.8
3,95,Yes,5,1,70.9
2,99,No,6,6,72.3
1,99,No,5,0,57.0
7,49,Yes,9,1,61.1
7,64,No,6,7,79.6
2,70,No,7,9,63.8
7,60,No,9,3,56.9
8,66,Yes,5,2,71.3
1,56,Yes,4,1,39.7
9,72,Yes,9,5,81.3
7,70,No,9,3,73.8
3,89,No,9,2,64.2
8,81,Yes,5,2,81.0
7,65,Yes,5,9,81.2
8,60,No,6,2,65.0
6,75,Yes,7,7,71.8
9,40,Yes,9,8,70.2
5,43,No,6,8,66.0
3,43,No,6,4,46.7
3,65,Yes,7,0,48.8
1,43,Yes,6,9,53.5
8,88,Yes,7,4,83.5
2,48,Yes,4,0,25.2
3,69,No,7,8,69.7
8,90,Yes,8,9,100.0
8,84,Yes,7,7,87.5
4,43,No,7,6,53.5
4,44,No,8,1,42.5
5,84,No,7,1,72.8
6,62,No,5,3,65.3
5,55,No,6,8,60.4
7,61,No,6,8,76.9
2,76,No,4,7,53.0
7,47,Yes,4,4,56.2
7,87,Yes,8,6,84.1
1,72,No,5,8,52.8
7,94,Yes,4,2,67.3
5,99,Yes,6,3,81.7
3,77,No,4,1,50.4
3,82,No,4,8,73.1
4,55,No,7,6,57.7
2,44,No,4,5,33.3
2,55,No,8,4,54.1
1,46,Yes,6,6,47.2
5,90,Yes,8,2,71.2
4,40,No,8,4,56.0
2,48,No,9,1,35.0
3,57,Yes,5,4,56.7
7,84,Yes,9,6,90.2
7,97,Yes,9,9,99.0
4,86,No,7,6,63.5
5,42,No,8,8,67.0
5,63,Yes,5,2,60.9
6,67,No,6,7,72.1
9,49,Yes,6,4,70.8
2,48,No,5,6,40.1
5,52,No,8,0,44.7
3,87,Yes,8,0,56.4
4,74,Yes,7,3,55.2
6,93,No,7,4,69.0
8,62,Yes,9,9,85.1
1,86,No,6,2,44.2
8,56,Yes,7,5,72.7
7,85,Yes,5,2,73.3
1,46,No,6,4,31.7
2,91,No,8,0,59.5
3,55,No,6,2,50.6
1,92,Yes,4,6,50.4
9,79,Yes,6,2,85.9
8,75,No,7,4,79.3
2,59,Yes,5,6,53.6
9,63,No,8,1,78.0
7,86,No,8,2,75.4
9,44,No,7,3,61.7
6,84,No,7,4,65.6
6,45,No,7,8,64.9
4,67,Yes,4,8,65.2
2,98,Yes,5,3,54.2
7,44,No,4,8,62.3
5,88,Yes,7,3,79.9
6,78,No,5,1,64.2
2,77,Yes,7,9,62.6
5,41,Yes,5,0,45.9
4,82,No,8,6,74.3
9,78,Yes,4,3,82.9
6,93,No,9,7,88.6
2,60,Yes,7,7,64.3
1,79,No,7,7,63.4
5,76,No,6,5,65.7
9,98,No,9,8,100.0
6,57,No,8,3,60.7
7,93,No,7,4,82.2
5,87,No,4,3,68.0
6,85,Yes,8,4,77.6
5,51,No,7,1,51.9
9,56,Yes,4,4,68.5
6,76,No,6,9,76.9
8,85,Yes,6,7,87.7
2,77,No,4,8,57.0
9,54,No,8,6,83.7
5,46,Yes,4,6,59.9
7,53,No,9,5,72.9
1,89,No,4,1,49.9
5,40,No,6,9,61.3
2,77,No,6,9,58.7
6,42,Yes,6,8,71.4
1,76,No,9,4,65.8
3,83,Yes,7,5,70.5
5,70,No,9,0,55.1
4,82,No,7,4,68.3
3,52,No,9,5,50.8
5,87,No,5,9,75.4
8,57,Yes,7,1,54.2
4,56,No,8,6,67.2
1,56,No,8,3,45.5
7,50,No,6,4,64.4
8,59,Yes,9,2,76.0
3,49,Yes,4,4,49.5
6,68,Yes,6,3,71.1
2,87,Yes,4,9,75.6
7,73,No,9,5,77.0
8,56,No,6,1,53.1
6,93,Yes,6,2,70.0
6,91,No,8,9,90.5
5,81,No,4,0,50.8
8,52,Yes,5,6,71.0
1,83,No,5,8,72.7
4,86,Yes,6,1,67.6
4,78,Yes,9,6,63.6
3,66,Yes,6,2,64.6
3,93,Yes,8,4,77.5
4,92,Yes,4,5,73.1
1,65,Yes,6,7,56.2
2,67,No,9,3,46.4
9,52,No,5,1,59.9
2,51,No,4,2,27.5
5,83,Yes,6,7,81.5
9,67,Yes,4,6,80.2
9,41,Yes,8,5,69.2
8,76,No,5,4,79.0
1,96,No,9,4,65.1
1,96,Yes,4,0,59.1
9,73,Yes,5,5,79.0
8,62,Yes,6,8,87.8
9,97,Yes,9,7,100.0
7,91,Yes,9,9,91.5
3,84,No,7,0,57.6
3,68,Yes,4,5,57.1
2,74,Yes,5,2,53.4
5,50,Yes,4,5,51.6
3,87,Yes,6,8,61.7
6,72,No,6,5,66.3
2,90,Yes,9,7,76.4
3,50,Yes,9,5,59.7
5,48,Yes,5,5,54.9
1,53,No,8,6,49.9
1,48,Yes,4,9,47.7
9,78,No,4,3,74.0
7,87,Yes,6,7,91.6
1,42,Yes,4,3,28.6
8,68,Yes,5,6,87.1
3,58,Yes,7,0,48.1
8,75,Yes,9,8,100.0
5,71,Yes,6,9,85.2
1,46,Yes,9,8,43.0
7,94,Yes,9,6,91.5
5,67,Yes,9,7,69.9
6,83,No,7,1,66.0
6,57,No,4,9,70.1
8,99,No,8,9,100.0
9,44,No,9,6,69.2
2,62,Yes,5,0,54.9
9,94,Yes,9,2,86.7
9,61,No,9,5,72.7
7,65,No,4,4,70.0
1,81,No,5,4,52.0
7,51,No,4,8,78.0
5,79,Yes,9,5,70.7
6,58,No,4,2,55.1
7,86,Yes,4,1,76.3
5,40,Yes,6,8,57.3
7,42,Yes,7,9,79.2
9,66,No,8,3,77.9
3,57,No,7,4,46.8
8,89,Yes,7,8,99.4
2,69,No,5,4,49.1
7,41,No,6,6,67.8
2,44,Yes,6,1,35.1
4,68,Yes,4,1,44.9
7,72,No,7,3,67.6
3,81,Yes,8,7,71.3
2,59,No,5,1,41.1
7,69,No,6,9,81.8
1,81,Yes,4,6,66.7
8,44,Yes,8,0,60.1
3,89,No,7,8,81.5
2,60,Yes,8,9,69.1
3,97,No,6,5,67.9
5,54,Yes,5,0,51.1
8,59,No,7,9,82.1
7,47,Yes,5,5,68.9
7,88,No,9,4,87.1
7,70,No,8,4,65.5
8,51,Yes,8,4,76.3
1,60,No,4,3,41.5
4,69,No,7,6,66.1
6,66,No,8,8,74.7
9,83,No,6,3,83.2
2,65,No,9,1,52.9
1,72,Yes,6,1,46.9
2,65,No,5,1,47.6
7,65,No,9,6,72.8
3,75,No,9,3,60.1
2,79,Yes,6,3,58.4
7,40,Yes,8,0,54.0
2,98,No,6,3,59.5
3,54,No,7,5,48.0
7,89,Yes,5,1,74.8
4,40,Yes,9,3,62.2
1,50,No,7,6,49.0
5,94,Yes,8,8,85.3
9,41,No,8,1,68.5
8,40,No,6,7,66.8
9,70,No,4,5,79.3
9,83,Yes,9,7,98.0
7,55,No,9,1,54.5
4,93,No,4,0,57.7
5,61,Yes,8,6,79.6
1,81,No,8,8,61.2
1,57,No,9,8,63.8
3,86,No,5,1,59.5
8,56,Yes,9,3,70.7
2,69,Yes,8,0,50.1
4,49,No,8,6,52.8
2,74,Yes,5,1,53.9
5,97,No,7,3,68.1
9,60,No,7,1,70.5
1,55,Yes,5,0,45.6
5,45,Yes,5,6,55.3
9,42,No,7,5,71.0
1,80,Yes,7,1,44.0
9,82,Yes,7,3,84.5
8,60,Yes,7,2,64.9
4,52,No,9,2,54.0
5,57,No,9,2,55.6
5,97,Yes,6,3,69.8
6,93,No,5,0,65.5
7,99,No,4,0,57.3
8,63,Yes,6,6,72.4
8,66,No,4,4,80.8
2,93,Yes,4,2,56.6
9,43,No,8,8,74.8
7,61,No,5,4,66.8
4,63,Yes,9,9,79.5
4,79,No,6,2,67.4
8,84,Yes,5,8,88.4
4,49,No,7,0,43.7
6,41,No,5,8,63.4
5,79,No,4,4,64.0
3,45,Yes,9,5,54.8
2,87,No,7,1,57.9
9,57,No,5,7,79.3
9,56,Yes,5,2,69.3
1,77,Yes,9,0,63.4
3,84,No,4,6,72.2
8,62,Yes,7,2,73.7
6,85,Yes,4,3,76.4
5,69,Yes,9,4,66.8
5,97,Yes,5,0,67.5
6,60,No,6,8,74.2
7,49,Yes,6,6,75.7
1,95,No,8,1,50.9
9,82,No,6,0,70.6
3,52,No,9,1,47.8
4,51,Yes,9,2,63.1
1,48,Yes,9,2,44.2
3,43,No,7,7,58.6
2,78,No,8,4,58.0
2,63,Yes,7,8,65.9
1,93,Yes,6,2,51.8
8,73,No,6,5,73.0
3,78,Yes,5,3,57.5
3,80,Yes,7,7,64.6
6,44,No,4,0,38.9
8,54,Yes,5,3,64.4
9,89,Yes,7,6,85.6
9,43,No,9,8,77.9
4,90,Yes,8,0,66.7
5,91,No,7,7,74.5
2,97,Yes,8,1,61.3
9,78,No,8,3,79.0
8,97,Yes,6,3,92.7
3,47,No,4,7,50.1
9,88,Yes,7,1,93.5
3,84,Yes,4,6,63.0
9,63,Yes,8,2,73.6
2,92,No,6,8,74.6
9,67,Yes,4,4,62.7
8,94,No,5,7,91.0
9,82,Yes,8,4,86.8
5,66,Yes,5,0,55.0
2,40,Yes,9,8,53.8
8,73,Yes,4,9,87.1
6,56,Yes,4,6,55.2
8,76,Yes,4,3,69.7
5,77,No,9,6,83.6
2,65,No,7,4,51.8
6,96,Yes,8,9,86.5
5,63,Yes,8,8,74.0
5,78,Yes,8,1,69.4
1,99,Yes,7,3,63.1
2,60,Yes,4,5,49.4
8,69,No,4,4,66.6
3,86,Yes,9,0,55.1
3,90,Yes,5,8,63.6
8,87,No,7,8,85.1
8,96,No,6,2,86.0
2,52,No,7,3,42.2
8,76,Yes,9,3,80.1
1,42,Yes,5,9,41.2
6,71,Yes,5,7,73.9
8,74,Yes,5,5,76.1
3,58,Yes,4,1,43.0
8,53,No,6,3,61.2
1,87,Yes,5,0,45.9
9,61,Yes,8,2,73.7
9,56,Yes,4,3,68.7
5,98,No,6,7,68.4
4,43,Yes,8,2,41.8
6,84,Yes,6,4,72.0
7,79,Yes,9,0,77.2
5,58,Yes,6,3,51.6
9,76,No,8,1,78.8
3,41,No,7,3,51.7
7,54,No,6,4,61.8
5,41,Yes,7,2,49.2
7,50,No,6,5,66.2
2,84,No,9,1,56.6
4,62,Yes,8,4,58.7
2,49,Yes,6,3,46.0
7,42,No,5,4,53.4
2,44,No,9,8,61.0
1,42,No,5,5,36.7
9,77,No,9,6,89.9
1,52,Yes,9,7,63.1
8,81,Yes,6,8,87.5
2,58,No,8,4,46.4
8,79,No,8,7,82.7
3,89,No,4,1,54.1
6,74,Yes,8,9,82.9
3,63,Yes,7,8,64.3
7,63,Yes,6,1,65.4
9,56,No,5,4,70.0
2,79,Yes,8,5,61.3
5,49,No,5,3,50.7
6,41,No,4,7,54.0
4,83,Yes,6,9,74.8
4,62,No,8,2,43.1
4,45,Yes,5,4,46.3
2,41,Yes,9,1,46.0
4,60,No,8,2,57.1
1,94,No,4,7,64.8
6,95,Yes,9,4,85.6
1,74,Yes,5,2,45.2
6,88,Yes,5,4,68.4
1,68,Yes,6,8,57.1
6,46,Yes,6,2,39.9
8,68,Yes,5,9,89.4
2,92,Yes,9,6,73.3
2,76,No,6,7,64.7
4,62,Yes,5,4,54.7
3,72,No,9,2,48.8
4,47,No,7,5,54.2
7,51,Yes,8,2,64.8
1,85,Yes,7,8,66.3
6,87,Yes,7,1,72.7
3,49,Yes,8,2,46.7
7,54,Yes,5,6,69.6
2,92,No,5,9,71.6
2,63,No,6,7,63.6
4,65,Yes,4,4,60.8
1,86,Yes,5,4,50.2
3,81,Yes,8,4,64.0
9,92,Yes,4,3,79.0
7,99,No,8,8,99.0
7,78,No,8,5,75.2
4,97,No,8,7,77.5
2,42,Yes,4,7,46.2
4,41,Yes,7,4,53.9
6,45,Yes,9,8,65.6
3,60,No,8,1,48.4
1,48,No,6,7,50.4
8,49,No,5,2,57.5
5,75,Yes,9,6,85.1
5,98,No,5,8,75.8
4,42,Yes,5,4,46.8
6,80,No,4,7,76.9
3,63,Yes,6,3,53.9
9,61,Yes,6,0,66.8
5,88,Yes,9,0,63.6
3,53,Yes,6,5,50.8
1,81,No,6,7,68.1
6,84,No,6,9,83.2
2,83,No,9,1,58.6
3,66,Yes,7,3,53.3
1,72,No,6,2,46.3
9,99,Yes,6,8,97.7
8,61,No,4,2,56.2
2,68,No,4,7,50.5
8,58,Yes,6,6,72.6
9,58,Yes,7,0,78.7
1,45,Yes,6,7,56.9
5,84,No,6,8,67.7
8,58,Yes,6,7,73.1
2,52,No,8,9,56.9
4,98,No,7,9,81.8
7,65,No,5,0,57.3
3,61,Yes,6,6,68.1
5,60,No,5,8,62.6
8,75,Yes,7,4,88.6
3,95,Yes,6,1,67.3
4,41,No,5,7,51.6
9,86,No,9,8,92.2
7,83,No,5,6,73.9
1,69,No,7,4,59.3
4,66,Yes,6,7,70.0
4,46,Yes,8,5,58.9
9,59,Yes,7,3,63.6
6,89,Yes,8,0,69.1
9,70,Yes,6,5,79.7
6,62,Yes,5,7,71.4
6,52,Yes,9,2,61.6
5,56,Yes,9,6,66.5
5,43,Yes,7,6,61.8
2,96,No,7,8,76.4
8,53,No,7,0,56.7
8,59,Yes,4,4,63.6
1,99,Yes,9,7,70.8
8,52,No,9,2,61.5
5,42,No,6,4,50.0
2,65,No,4,0,49.0
2,65,Yes,7,8,60.8
6,57,No,7,3,54.8
9,71,No,8,4,77.7
1,53,No,4,2,42.5
6,86,No,5,1,63.5
9,42,No,9,6,69.8
8,40,Yes,6,4,55.3
6,65,No,5,9,70.8
3,63,Yes,5,2,43.0
8,88,No,6,1,75.3
9,74,No,7,9,87.5
1,53,No,9,5,37.7
9,42,No,8,9,86.6
6,52,No,7,5,73.0
6,86,Yes,7,2,74.2
4,89,Yes,4,8,82.3
1,53,Yes,5,0,36.3
8,60,Yes,5,2,56.8
2,65,Yes,9,0,48.2
1,42,Yes,5,6,39.6
2,90,Yes,8,1,52.5
1,79,No,8,3,53.1
1,43,Yes,8,3,38.0
9,75,No,6,7,85.4
1,90,No,9,3,62.7
4,82,Yes,8,2,74.3
6,40,No,4,9,60.8
7,79,No,4,2,60.5
2,86,Yes,7,4,60.2
6,72,No,7,5,68.2
7,46,Yes,9,6,82.9
2,92,No,7,4,61.8
2,91,Yes,7,6,71.4
7,91,No,4,3,78.3
1,95,Yes,7,4,69.9
8,50,No,4,5,65.0
3,66,Yes,8,8,66.2
6,53,No,8,5,61.7
9,61,No,9,9,81.0
6,55,Yes,6,0,59.4
9,85,No,7,6,100.0
7,51,Yes,8,2,70.7
9,88,No,8,5,88.8
2,85,No,9,1,50.1
8,49,Yes,5,6,67.3
8,63,No,5,0,62.7
2,85,Yes,9,1,57.8
4,57,No,4,8,58.2
7,61,No,6,8,75.8
4,48,No,9,6,59.8
4,56,No,5,1,57.5
6,77,Yes,6,4,83.2
6,79,Yes,8,3,72.1
3,97,No,9,1,70.0
9,52,No,4,1,53.3
2,89,Yes,6,9,77.3
6,76,No,5,7,75.3
7,45,Yes,8,4,61.0
9,60,No,9,7,88.8
3,90,No,7,1,53.9
3,75,Yes,8,1,56.8
7,46,No,5,2,55.1
4,75,Yes,9,9,70.1
8,64,Yes,5,7,78.9
7,50,Yes,7,7,67.5
5,83,Yes,8,2,67.6
7,53,Yes,6,0,57.2
3,84,Yes,6,6,59.6
2,68,No,8,3,49.7
6,49,Yes,6,2,55.7
2,89,Yes,9,4,65.3
3,87,No,8,5,62.5
6,44,Yes,8,0,46.8
5,47,No,5,8,54.7
8,85,Yes,4,5,71.3
9,44,Yes,5,2,59.4
3,97,Yes,6,0,67.4
3,99,No,4,8,64.4
3,63,No,8,1,54.2
6,79,Yes,6,9,75.9
1,96,Yes,7,5,67.9
7,65,No,6,5,82.7
1,45,No,4,2,34.5
5,55,No,4,5,54.5
8,99,Yes,8,1,83.8
4,75,No,9,7,75.9
5,51,No,7,0,50.4
4,50,No,8,5,57.3
4,42,No,7,0,39.0
8,83,No,7,8,89.4
2,76,No,8,8,56.4
1,45,No,6,5,37.5
3,58,Yes,5,5,63.1
9,57,No,7,8,85.2
4,55,Yes,4,4,52.4
5,62,Yes,8,8,67.8
2,82,No,9,4,71.4
4,76,Yes,6,3,59.3
2,48,Yes,7,1,36.9
2,42,No,9,1,40.2
4,47,Yes,6,0,42.1
6,77,No,8,9,71.7
7,43,No,9,2,52.0
3,51,No,4,0,35.9
3,83,No,7,5,58.6
6,70,No,7,6,63.7
3,64,No,9,8,58.3
2,92,No,6,6,63.9
8,55,Yes,8,3,70.4
5,81,No,5,3,67.6
1,93,Yes,7,7,62.2
3,53,No,4,3,42.8
8,52,No,7,0,55.9
4,80,No,7,8,75.3
7,46,Yes,5,2,57.5
2,51,Yes,5,0,39.6
7,76,Yes,8,8,92.1
5,89,Yes,7,9,85.6
5,43,Yes,7,9,71.7
6,41,Yes,6,4,50.9
9,74,No,6,8,78.8
6,97,No,9,2,83.9
8,83,Yes,9,5,89.1
7,42,Yes,4,6,65.3
9,43,Yes,4,4,71.5
4,77,Yes,6,7,67.0
2,51,Yes,9,9,58.8
7,58,No,4,5,67.8
6,49,No,7,5,59.4
1,40,No,9,6,42.2
9,56,No,5,7,69.1
9,55,No,9,1,73.5
2,48,No,7,6,46.0
3,96,No,6,8,78.3
5,92,No,8,0,68.8
5,48,Yes,8,0,58.7
1,98,Yes,6,6,58.2
8,94,No,7,4,69.8
8,48,No,4,0,62.0
4,51,No,9,0,53.0
7,94,Yes,9,1,75.5
3,80,Yes,4,9,65.4
6,54,No,8,8,70.8
9,41,Yes,6,2,62.9
1,50,No,6,8,45.2
5,50,No,5,5,50.8
4,47,No,8,9,60.4
8,94,No,6,5,87.1
1,71,No,5,6,51.5
9,45,Yes,4,9,74.0
6,92,No,8,7,80.5
4,59,No,8,2,64.3
9,78,No,6,7,82.8
5,74,No,6,5,68.7
5,47,Yes,7,5,72.1
5,89,No,4,2,66.6
1,88,No,4,5,57.1
1,82,Yes,9,7,73.0
8,73,No,5,6,83.7
8,96,No,5,9,91.8
6,92,No,7,9,79.7
4,98,No,9,6,77.9
2,95,Yes,4,2,60.9
2,58,No,5,9,54.0
9,46,No,4,2,58.7
5,70,Yes,4,4,70.6
4,57,No,9,4,62.2
1,79,No,5,8,61.6
7,53,Yes,6,8,68.5
3,78,No,6,9,67.5
6,99,Yes,9,4,87.0
5,92,No,5,4,73.1
5,99,Yes,7,5,88.5
5,98,No,8,7,86.0
1,75,No,9,5,54.3
1,56,Yes,4,5,54.3
3,76,No,9,8,69.0
4,83,Yes,8,0,66.8
5,48,Yes,9,3,56.3
2,97,Yes,5,9,70.4
8,59,Yes,4,9,71.8
2,84,No,8,1,48.2
9,96,Yes,6,8,95.5
2,67,No,7,2,54.8
9,89,No,9,9,99.9
7,59,Yes,9,1,57.7
8,80,Yes,8,7,93.2
2,75,No,7,3,53.5
7,92,Yes,9,1,87.4
6,66,No,6,3,59.9
4,47,Yes,8,6,55.3
7,71,No,5,6,81.1
4,40,No,4,0,41.0
2,56,Yes,6,0,32.9
7,96,No,7,2,79.2
8,48,No,7,1,51.2
2,59,Yes,6,2,51.4
5,84,Yes,5,3,62.0
1,71,Yes,9,6,54.1
7,41,Yes,5,1,60.3
8,71,Yes,9,6,87.0
6,84,No,9,4,79.8
5,48,No,7,7,58.8
6,69,Yes,9,7,78.7
2,59,No,6,4,55.4
1,77,No,9,9,67.4
7,99,No,6,7,98.8
7,40,No,4,8,61.5
2,99,No,7,6,73.9
2,96,Yes,5,5,71.4
1,44,Yes,8,6,49.1
8,74,No,5,6,83.9
8,75,No,5,2,66.8
1,40,Yes,8,5,48.8
8,53,Yes,7,5,67.5
9,48,Yes,9,8,76.9
4,69,Yes,4,0,50.8
1,63,No,5,6,47.6
1,43,Yes,9,0,31.7
3,89,Yes,5,9,78.4
5,53,No,7,3,63.0
5,64,Yes,7,6,67.0
9,43,Yes,6,5,75.9
2,64,Yes,7,5,52.9
2,49,Yes,7,4,47.1
6,74,Yes,5,6,72.9
9,94,No,4,8,95.3
1,46,No,5,5,39.0
9,81,No,9,9,85.4
9,52,No,7,6,80.8
9,43,No,6,8,74.3
5,89,Yes,4,6,62.6
9,82,Yes,6,5,93.4
4,96,Yes,8,2,78.8
2,75,Yes,6,0,43.6
6,95,Yes,6,9,81.9
4,53,Yes,9,8,73.4
6,57,Yes,7,6,75.0
3,47,Yes,9,2,52.2
6,71,Yes,7,9,78.7
2,66,Yes,9,8,61.9
2,81,Yes,7,2,59.9
9,76,Yes,7,2,76.2
7,62,Yes,7,6,71.6
3,46,No,6,1,43.8
1,51,Yes,8,9,61.8
8,64,No,7,6,83.6
6,42,Yes,8,6,55.7
7,65,Yes,8,0,63.0
9,43,Yes,5,9,75.5
5,81,No,5,1,59.3
1,75,No,4,4,41.1
7,54,Yes,9,3,71.4
5,71,Yes,5,2,69.8
3,68,Yes,7,9,63.2
9,49,Yes,8,7,81.0
1,60,No,9,6,59.3
1,93,No,4,8,61.5
1,55,Yes,5,2,36.3
3,86,No,6,9,72.8
6,58,No,9,0,61.4
3,68,Yes,4,8,56.4
8,91,Yes,7,8,99.1
2,90,Yes,9,0,58.4
9,57,No,8,7,77.0
3,97,Yes,7,9,73.1
5,83,No,7,0,57.9
8,96,Yes,9,5,89.9
2,55,Yes,6,8,51.0
6,40,No,6,2,52.4
5,87,No,9,5,76.5
9,41,No,9,2,70.3
5,95,No,9,4,80.6
2,54,No,8,6,49.4
5,78,No,5,9,72.6
4,67,Yes,7,3,56.6
7,40,No,9,3,52.0
6,44,No,5,6,60.0
2,81,Yes,8,4,63.2
5,61,No,7,0,49.4
7,92,No,5,9,90.8
7,75,Yes,7,1,68.3
5,85,Yes,6,5,79.7
9,52,Yes,9,8,84.0
4,40,No,6,6,44.5
3,55,Yes,4,3,55.1
4,94,No,8,1,67.4
5,80,Yes,9,3,67.3
6,61,No,5,4,58.9
3,71,Yes,7,1,50.3
2,55,Yes,4,0,43.0
4,90,Yes,8,3,60.6
5,54,No,8,5,62.5
4,97,No,8,0,56.2
3,85,Yes,5,0,45.6
8,91,Yes,9,8,99.0
4,81,Yes,6,4,60.3
2,92,Yes,4,1,58.3
2,51,No,5,1,41.7
1,99,Yes,7,3,60.4
4,40,Yes,5,1,44.9
9,92,No,7,3,92.2
7,56,No,7,5,62.6
7,80,Yes,8,6,87.8
7,94,Yes,5,5,78.7
8,90,No,6,3,79.0
1,96,No,7,9,67.3
8,89,Yes,8,2,79.7
4,67,No,6,3,54.0
4,46,No,5,4,44.9
4,48,Yes,6,3,50.5
6,61,Yes,5,2,65.7
7,65,No,7,0,54.1
6,92,Yes,4,2,72.9
1,51,Yes,4,4,35.5
8,46,Yes,9,5,67.8
7,85,Yes,9,3,71.7
6,86,Yes,7,0,74.3
6,54,No,6,9,68.4
5,77,No,5,6,63.3
6,60,Yes,4,8,70.6
9,53,Yes,5,5,71.5
9,41,Yes,7,5,76.9
8,47,No,6,8,66.7
9,84,No,5,3,77.9
8,94,No,6,4,86.9
8,45,No,4,4,54.7
1,76,Yes,5,4,50.1
5,76,Yes,8,7,70.5
4,96,No,4,0,54.1
2,72,No,6,9,55.0
8,80,Yes,7,9,86.2
3,45,Yes,8,2,41.0
4,91,Yes,9,7,77.6
7,65,Yes,5,8,81.9
9,78,Yes,9,1,82.6
2,80,No,4,3,57.5
3,76,Yes,5,7,63.5
4,53,No,5,4,46.2
1,76,No,8,0,45.3
7,47,Yes,8,5,65.3
2,78,No,8,8,68.3
5,52,No,8,8,58.8
1,52,Yes,7,0,37.4
3,79,No,6,3,64.6
2,82,Yes,8,0,50.2
1,67,Yes,4,6,49.1
7,97,No,5,2,66.2
5,57,Yes,9,1,64.3
1,96,Yes,8,7,70.4
6,58,No,4,8,63.6
5,77,Yes,7,6,74.0
3,71,No,4,5,54.5
7,61,No,9,9,76.9
9,41,Yes,9,5,67.4
9,99,No,4,8,93.9
9,52,Yes,7,4,73.9
2,62,No,9,4,51.4
3,64,Yes,7,1,50.1
7,67,Yes,5,5,77.2
5,97,No,8,5,79.8
2,50,No,9,5,43.9
3,72,Yes,4,3,60.7
6,63,Yes,6,6,73.6
7,41,No,6,8,68.9
9,69,Yes,5,0,65.6
1,56,Yes,6,2,46.2
7,79,No,5,9,82.5
8,73,No,8,8,79.4
3,77,Yes,5,4,61.2
4,61,No,7,5,63.7
6,44,No,7,7,65.9
7,87,Yes,7,8,79.8
4,79,No,9,7,75.1
8,90,No,7,2,76.7
5,55,Yes,7,9,61.6
1,52,No,7,0,38.0
4,65,Yes,7,4,64.9
3,70,No,9,6,63.8
9,91,No,7,1,75.3
8,78,Yes,7,0,79.7
1,87,No,8,3,59.0
6,62,No,9,2,66.3
9,87,No,7,3,87.4
7,51,No,5,0,58.5
4,53,No,8,1,50.8
1,95,No,9,0,49.3
2,57,Yes,6,2,42.4
5,66,No,4,3,53.3
5,67,No,9,0,63.9
8,57,Yes,8,5,76.9
6,55,Yes,7,1,55.1
8,91,Yes,8,9,96.4
2,55,No,4,4,49.6
3,52,Yes,4,7,57.4
6,97,Yes,9,3,87.5
3,68,No,7,4,50.6
6,48,Yes,7,8,68.7
6,65,No,5,1,53.3
2,67,No,4,1,49.3
7,80,No,7,5,76.3
2,52,No,4,5,40.9
6,75,No,5,2,52.5
1,48,Yes,6,8,57.8
3,86,No,4,0,58.2
2,53,Yes,5,2,32.4
7,90,No,5,7,83.1
4,51,Yes,5,7,63.6
8,92,No,8,3,85.2
6,97,No,9,7,85.1
4,96,No,7,9,76.2
5,71,Yes,4,7,74.7
9,77,Yes,9,0,82.7
7,42,Yes,8,2,63.5
9,97,No,4,0,82.2
7,96,No,9,1,89.3
1,93,Yes,8,3,60.1
8,91,No,7,2,77.3
4,55,Yes,5,5,54.5
3,59,No,9,4,51.0
7,71,Yes,9,4,83.4
3,95,Yes,4,9,82.2
8,62,No,5,6,77.6
6,56,Yes,7,6,77.2
5,55,No,4,8,62.0
4,77,No,6,7,69.7
